text,true_label,predicted_label,phishing_probability
"Hello, here is the updated document we mentioned after class. Please sign in to view it at https://workspace-docs-access.example.com/open.",phishing,phishing,0.9861427904090172
Good afternoon. The portal migration is nearly complete. Please re-enter your institutional credentials at http://203.0.113.10/portal so your account remains synced.,phishing,phishing,0.9977504526958674
The reimbursement spreadsheet is ready. Open the secure link and confirm your staff details before processing can continue.,phishing,legitimate,0.00613476978418198
The research repository requires one final identity check. Review the shared file and sign in to proceed.,phishing,legitimate,0.007660975614976836
We noticed an authentication mismatch in your mailbox. Use the validation page below to prevent service disruption.,phishing,legitimate,0.0016131931416257107
"Hello, here is the updated document we mentioned after class. It is also available through the normal course workspace.",legitimate,legitimate,0.0011212693793329362
The portal migration is nearly complete. Accounts will remain available during the change window.,legitimate,legitimate,0.0010469149371144157
The reimbursement spreadsheet is ready. Finance will contact you if any details are missing.,legitimate,legitimate,0.0009311123523463632
The research repository maintenance window starts tonight. No user action is required.,legitimate,legitimate,0.001046299781248901
We noticed a synchronization delay in the mailbox archive. The issue is being handled by IT.,legitimate,legitimate,0.0007625818491039278
